,Unnamed: 0,id_artists,name_artists_df,id_tracks_df,name_tracks_df,duration_m,genre,popularity_tracks_df,release_year,popularity_artists_df,followers,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,0,74XFHRwlV6OrjEM0A2NCMF,Paramore,04BSvYghzdxjSJNpee36er,Monster - Transformers Soundtrack Version,3.34,pop,61,2011,81.0,5921571.0,200147,0.413,0.969,-2.599,0.119,2.87e-05,0.000753,0.371,0.374,164.999,4
1,1,3x621ItlHMtX7mrJ8QnEjM,HY,22aZD7yaGYfhgCYazL4nbc,366日,5.88,pop,61,2008,56.0,902389.0,352507,0.378,0.426,-7.314,0.0308,0.675,0.0,0.207,0.184,152.03,4
2,2,6oBm8HB0yfrIc9IHbxs6in,Lykke Li,39Odj4vLKRarATkCA31gaW,Possibility,5.11,pop,61,2009,72.0,1484200.0,306440,0.285,0.311,-10.012,0.032,0.768,0.00183,0.0809,0.0772,117.813,4
3,3,4IWBUUAFIplrNtaOHcJPRM,James Arthur,5hrbuCjGxws7txUEr8XDgb,Breathe,3.32,pop,61,2019,86.0,7893527.0,199067,0.74,0.452,-8.828,0.0654,0.67,0.0,0.118,0.636,115.064,4
4,4,5rScKX1Sh1U67meeUyTGwk,Michelle Branch,0kr6d8wHDQPlzuET33NVn6,All You Wanted,3.63,pop,61,2001,62.0,471001.0,217680,0.499,0.72,-9.101,0.0286,0.00466,0.00303,0.122,0.652,96.103,4
5,5,1UjxAZqzphB1tsMb1aWBj0,Omega,0OyHCmkCp2qZJ44ZKB26fX,Si Te Vas/Que Tengo Que Hacer - Original Remix,4.08,pop,61,2009,63.0,155376.0,245067,0.853,0.689,-5.364,0.0564,0.0645,2.99e-06,0.0415,0.948,125.01,4
6,6,1Y53ZUhXBydAzILo4Qa0s1,Manizha,6Dz383ZHSKzWh5ZTL7aRra,RUSSIAN WOMAN,2.95,pop,61,2021,51.0,50217.0,176878,0.89,0.701,-7.061,0.194,0.204,0.0,0.0741,0.652,102.001,4
7,7,7rEIUw67hRTgievwuKQGSj,maNga,2AlPvpsWlG7dEfhfNf9qJR,Dünyanın Sonuna Doğmuşum,4.34,pop,61,2009,65.0,1184336.0,260493,0.643,0.92,-3.16,0.0595,0.0466,0.0,0.36,0.835,137.027,4
8,8,4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,310d8Vawp5kYDYrGrrTAzl,King And Lionheart,4.56,pop,61,2012,73.0,3143531.0,273853,0.52,0.655,-6.519,0.0394,0.105,0.00384,0.124,0.29,126.593,4
9,9,5jsIYrxcANUkZQPfCdfEWe,Partenaire Particulier,0S4dVpqBLnBFj4wdB4UDMd,Partenaire Particulier,4.11,pop,61,2009,48.0,24496.0,246440,0.736,0.927,-3.487,0.0541,0.678,0.000256,0.217,0.971,156.046,4
10,10,0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,61sJQh19AcTBrX7P8LWLi0,Passenger Seat (Acoustic),4.55,pop,61,2001,60.0,116563.0,273067,0.549,0.437,-8.64,0.0313,0.683,1.53e-05,0.224,0.688,153.592,4
11,11,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,2ZqTtndqAZDRAWw2vgZwQK,But It's Better If You Do,3.43,pop,61,2005,83.0,10632209.0,205752,0.467,0.848,-3.063,0.0716,0.0617,0.0,0.29,0.674,170.038,4
12,12,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,4rstj4vgkFq49R2VV0fbxX,"Build God, Then We'll Talk",3.68,pop,61,2005,83.0,10632209.0,220720,0.418,0.828,-4.132,0.0475,0.136,0.0,0.336,0.448,124.783,4
